"supervision_total","blackcard_total","ecommerce_total","order_count","total_price","city_id","gender","refund_fee","last_buytime","churn"
"0","0","4299","2","4299","0101","2","0","1623197480","0"
"0","0","6539","3","6539","5111","2","0","1623355903","0"
"0","0","5499","1","5499","3201","1","0","1623201107","0"
"0","0","4999","1","4999","0201","1","0","1614654718","0"
"0","0","1348","2","1348","4103","1","0","1606860017","0"
"0","0","4467","1","4467","3401","1","0","1621217501","0"
"0","0","999","1","999","3301","1","0","1608429603","0"
"0","0","9885.8398","5","9885.8398","3207","1","0","1623366664","0"
"0","0","10083","9","10083","3604","1","0","1621390287","0"
"0","0","2369","2","2369","0201","1","0","1619143905","0"
"0","0","3267","5","3267","0101","1","0","1618884670","0"
"0","0","1484","4","1484","0201","1","0","1622333478","0"
"0","0","6297","3","6297","3717","2","0","1611623489","0"
"0","0","415","1","415","5101","2","0","1620436267","0"
"0","0","4099","1","4099","0201","2","0","1622517066","0"
"0","0","2297","1","2297","2102","2","0","1603940442","0"
"0","0","10934","3","10934","0201","2","0","1621473099","0"
"0","0","7264","4","7264","0101","2","0","1623294680","0"
"0","0","499","1","499","3502","2","0","1623352273","0"
"0","0","545","1","545","3702","2","0","1620274295","0"
"0","0","2475","6","2475","3609","2","0","1618171901","0"
"0","0","1623","2","1623","4413","2","0","1608512454","0"
"0","0","888","1","888","3705",,"0","1618186262","0"
"0","0","599","1","599","4401",,"0","1620591104","0"
"0","0","500","1","500","3304",,"0","1607472019","0"
"0","0","3599","1","3599","4301",,"0","1604260859","0"
"0","0","1208","1","1208","3303",,"0","1606960848","0"
"0","0","6658","3","6658","4502",,"0","1615504296","0"
"0","0","1000","1","1000",,,"0","1615745468","0"
"0","0","1057","1","1057","3502",,"0","1608433203","0"
"0","0","9198","2","9198","5001",,"0","1620673865","0"
"0","0","3035","2","3035","5101",,"0","1604286012","0"
"0","0","1298","1","1298","5114",,"0","1617149502","0"
"0","0","14824","7","14824","2101",,"0","1623172294","0"
"0","0","3855","7","3855","4407",,"0","1614831113","0"
"0","0","1007","1","1007","4201",,"0","1623373892","0"
"0","0","500","1","500","5101","2","0","1600833622","0"
"0","0","516","1","516","5101","2","0","1600729216","0"
"0","0","3599","1","3599","1401","2","0","1604545211","0"
"0","0","5958","2","5958","6301","2","0","1623730316","0"
"0","0","18397","3","18397","5001","2","0","1620616298","0"
"0","0","11999","1","11999","3301","2","0","1615313486","0"
"0","0","1536","1","1536","4403","2","0","1602810009","0"
"0","0","899","1","899","0101","2","0","1597536027","0"
"0","0","8099","1","8099","3607","2","0","1620695483","0"
"0","0","7125","5","7125","5001","2","0","1619662271","0"
"0","0","129","1","129","2205","2","0","1606953645","0"
"0","0","3597","1","3597","4101","2","0","1614658268","0"
"0","0","297","1","297","3702","1","0","1620436313","0"
"0","0","4498","2","4498","6201","1","0","1623384696","0"
"0","0","12798","2","12798","4101","1","0","1621530695","0"
"0","0","1099","1","1099","0201","1","0","1611202283","0"
"0","0","3000","3","3000","3301","1","0","1622160665","0"
"0","0","2623","1","2623","4401","1","0","1618708260","0"
"0","0","1899","1","1899","1401","1","0","1621570267","0"
"0","0","1198","2","1198","3301","1","0","1620324671","0"
"0","0","500","1","500","4301","2","0","1620598295","0"
"0","0","2499","2","2499","4403","2","0","1623611468","0"
"0","0","11458","1","11458","0201","2","0","1617988277","0"
"0","0","270","3","270","0101","2","0","1620616269","0"
"0","0","244","1","244","0201","2","0","1620875510","0"
"0","0","4999","1","4999","0101","2","0","1614568295","0"
"0","0","10599","1","10599","0201","2","0","1621221085","0"
"0","0","1199","1","1199","4201","2","0","1623780703","0"
"0","0","599","1","599","3202","2","0","1600970422","0"
"0","0","2365","2","2365","4510","2","0","1621962696","0"
"0","0","3106","3","3106","3301","2","0","1601262017","0"
"0","0","8433","5","8433","2101","2","0","1622401884","0"
"0","0","602","2","602","4303","2","0","1620429093","0"
"0","0","103","1","103","0101","1","0","1621469479","0"
"0","0","1000","1","1000","5001","1","0","1620349877","0"
"0","0","1426","2","1426","5001","1","0","1603389645","0"
"0","0","1156","1","1156","1501","1","0","1623377497","0"
"0","0","3299","1","3299","2301","1","0","1604617220","0"
"0","0","3292.97","6","3292.97","3501","1","0","1603839623","0"
"0","0","1401","2","1401","4113","1","0","1609372816","0"
"0","0","1570","2","1570","4307","1","0","1620529869","0"
"0","0","1250","2","1250","3702","1","0","1620429117","0"
"0","0","499","1","499","5001","1","0","1600736439","0"
"0","0","8245","4","8245","3402","1","0","1623345100","0"
"0","0","1000","1","1000","1201","1","0","1616029883","0"
"0","0","3000","1","3000","3401","2","0","1621800683","0"
"0","0","1299","1","1299","4601","2","0","1623017464","0"
"0","0","2279","2","2279","4403","2","0","1618881077","0"
"0","0","4999","1","4999","0201","2","0","1614564711","0"
"0","0","776","2","776","4201","2","0","1614715866","0"
"0","0","4999","1","4999","1201","2","0","1622423477","0"
"0","0","4139","1","4139","4503","2","0","1604548824","0"
"0","0","3660","2","3660","0101","2","0","1618276265","0"
"0","0","500","1","500","4403","2","0","1600794058","0"
"0","0","6999","1","6999","5107","2","0","1620583893","0"
"0","0","1000","1","1000","4413","2","0","1617228714","0"
"0","0","1881","2","1881","3707","2","0","1617225087","0"
"0","0","677","1","677","4406","2","0","1600826455","0"
"0","0","1000","1","1000","0201","2","0","1616206278","0"
"0","0","8798","3","8798","0101","2","0","1623802282","0"
"0","0","4298","2","4298","0201","2","0","1623633064","0"
"0","0","2622","2","2622","4416","2","0","1620933105","0"
"0","0","399","1","399","5001","2","0","1619136702","0"
"0","0","2997","1","2997","0101","2","0","1597179625","0"
"0","0","1820","1","1820","5101","1","0","1622578300","0"
"0","0","2162","2","2162","3301","1","0","1621559477","0"
"0","0","2255","2","2255","4504","1","0","1601323201","0"
"0","0","694","2","694","3201","1","0","1601082016","0"
"0","0","1937","2","1937","1310","1","0","1623035479","0"
"0","0","1000","1","1000","0201","2","0","1620267116","0"
"0","0","298","2","298","6101","2","0","1623705079","0"
"0","0","399","1","399","4201","2","0","1603753233","0"
